datetime,surge,flood_depth,,time,17,,time,precip_rate
10/28/2012 11:00,1.761132519,0,,10/28/2012 11:00,26139.21333,,10/28/2012 11:00,0
10/28/2012 12:00,1.761132519,0,,10/28/2012 12:00,26103.12597,,10/28/2012 12:00,0
10/28/2012 13:00,1.761132519,0,,10/28/2012 13:00,26067.0386,,10/28/2012 13:00,0
10/28/2012 14:00,1.761132519,0,,10/28/2012 14:00,26030.96088,,10/28/2012 14:00,0
10/28/2012 15:00,1.761132519,0,,10/28/2012 15:00,25995.04078,,10/28/2012 15:00,0
10/28/2012 16:00,1.761132519,0,,10/28/2012 16:00,25959.13033,,10/28/2012 16:00,0
10/28/2012 17:00,1.761132519,0,,10/28/2012 17:00,25923.21987,,10/28/2012 17:00,0
10/28/2012 18:00,1.761132519,0,,10/28/2012 18:00,25887.47669,,10/28/2012 18:00,0
10/28/2012 19:00,1.761132519,0,,10/28/2012 19:00,25851.7335,,10/28/2012 19:00,0
10/28/2012 20:00,1.761132519,0,,10/28/2012 20:00,25816.14792,,10/28/2012 20:00,0
10/28/2012 21:00,1.761132519,0,,10/28/2012 21:00,25780.42404,,10/28/2012 21:00,0
10/28/2012 22:00,1.761132519,0,,10/28/2012 22:00,25745.00573,,10/28/2012 22:00,0
10/28/2012 23:00,1.761132519,0,,10/28/2012 23:00,25709.43945,,10/28/2012 23:00,0
10/29/2012 0:00,1.761132519,0,,10/29/2012 0:00,25674.04045,,10/29/2012 0:00,0
10/29/2012 1:00,1.761132519,0,,10/29/2012 1:00,25638.64144,,10/29/2012 1:00,0
10/29/2012 2:00,1.761132519,0,,10/29/2012 2:00,25603.40004,,10/29/2012 2:00,0
10/29/2012 3:00,1.761132519,0,,10/29/2012 3:00,25568.1683,,10/29/2012 3:00,0
10/29/2012 4:00,1.761132519,0,,10/29/2012 4:00,25532.93656,,10/29/2012 4:00,0
10/29/2012 5:00,1.761132519,0,,10/29/2012 5:00,25497.87208,,10/29/2012 5:00,0
10/29/2012 6:00,1.761132519,0,,10/29/2012 6:00,25462.8076,,10/29/2012 6:00,0
10/29/2012 7:00,1.761132519,0,,10/29/2012 7:00,25427.75277,,10/29/2012 7:00,0
10/29/2012 8:00,1.761132519,0,,10/29/2012 8:00,25392.85555,,10/29/2012 8:00,0
10/29/2012 9:00,1.761132519,0,,10/29/2012 9:00,25357.96799,,10/29/2012 9:00,0
10/29/2012 10:00,1.761132519,0,,10/29/2012 10:00,25323.08043,,10/29/2012 10:00,0
10/29/2012 11:00,1.761132519,0,,10/29/2012 11:00,25288.36013,,10/29/2012 11:00,0
10/29/2012 12:00,1.761132519,0,,10/29/2012 12:00,25253.63983,,10/29/2012 12:00,0
10/29/2012 13:00,1.761132519,0,,10/29/2012 13:00,25219.07714,,10/29/2012 13:00,0
10/29/2012 14:00,1.761132519,0,,10/29/2012 14:00,25184.36649,,10/29/2012 14:00,0
10/29/2012 15:00,1.761132519,0,,10/29/2012 15:00,25149.97107,,10/29/2012 15:00,0
10/29/2012 16:00,1.761132519,0,,10/29/2012 16:00,25115.42769,,10/29/2012 16:00,0
10/29/2012 17:00,1.761132519,0,,10/29/2012 17:00,25081.04192,,10/29/2012 17:00,0
10/29/2012 18:00,1.761132519,0,,10/29/2012 18:00,25046.6658,,10/29/2012 18:00,0
10/29/2012 19:00,1.647456536,0.083072634,,10/29/2012 19:00,25012.28968,,10/29/2012 19:00,0
10/29/2012 20:00,1.916547356,1.137018429,,10/29/2012 20:00,24978.08082,,10/29/2012 20:00,0
10/29/2012 21:00,2.266186829,1.486657909,,10/29/2012 21:00,24944.02958,,10/29/2012 21:00,0
10/29/2012 22:00,2.473880703,1.694351779,,10/29/2012 22:00,24909.82072,,10/29/2012 22:00,0
10/29/2012 23:00,2.730065014,1.950536095,,10/29/2012 23:00,24875.77913,,10/29/2012 23:00,0
10/30/2012 0:00,2.714646059,1.935117136,,10/30/2012 0:00,24841.74719,,10/30/2012 0:00,0
10/30/2012 1:00,2.560838743,1.781309819,,10/30/2012 1:00,24807.87287,,10/30/2012 1:00,0
10/30/2012 2:00,2.409248761,1.629719841,,10/30/2012 2:00,24773.99854,,10/30/2012 2:00,0
10/30/2012 3:00,2.266515248,1.486986327,,10/30/2012 3:00,24740.12421,,10/30/2012 3:00,0
10/30/2012 4:00,2.116796292,1.337267368,,10/30/2012 4:00,24706.26919,,10/30/2012 4:00,0
10/30/2012 5:00,1.866902351,1.087373432,,10/30/2012 5:00,24672.56213,,10/30/2012 5:00,0
10/30/2012 6:00,1.685321882,0.617260994,,10/30/2012 6:00,24638.86472,,10/30/2012 6:00,0
10/30/2012 7:00,1.761132519,0,,10/30/2012 7:00,24605.32492,,10/30/2012 7:00,0
10/30/2012 8:00,1.761132519,0,,10/30/2012 8:00,24571.79477,,10/30/2012 8:00,0
10/30/2012 9:00,1.761132519,0,,10/30/2012 9:00,24538.27428,,10/30/2012 9:00,0
10/30/2012 10:00,1.761132519,0,,10/30/2012 10:00,24504.90174,,10/30/2012 10:00,0
10/30/2012 11:00,1.761132519,0,,10/30/2012 11:00,24471.53886,,10/30/2012 11:00,0
10/30/2012 12:00,1.761132519,0,,10/30/2012 12:00,24438.18563,,10/30/2012 12:00,0
10/30/2012 13:00,1.761132519,0,,10/30/2012 13:00,24404.8324,,10/30/2012 13:00,0
10/30/2012 14:00,1.761132519,0,,10/30/2012 14:00,24371.63678,,10/30/2012 14:00,0
10/30/2012 15:00,1.761132519,0,,10/30/2012 15:00,24338.45081,,10/30/2012 15:00,0
10/30/2012 16:00,1.761132519,0,,10/30/2012 16:00,24305.43211,,10/30/2012 16:00,0
10/30/2012 17:00,1.761132519,0,,10/30/2012 17:00,24272.40375,,10/30/2012 17:00,0
10/30/2012 18:00,1.761132519,0,,10/30/2012 18:00,24239.38505,,10/30/2012 18:00,0
10/30/2012 19:00,1.711669689,0.523352702,,10/30/2012 19:00,24206.376,,10/30/2012 19:00,0
10/30/2012 20:00,2.130399225,1.350870303,,10/30/2012 20:00,24173.52456,,10/30/2012 20:00,0
10/30/2012 21:00,2.299842185,1.520313264,,10/30/2012 21:00,24140.67313,,10/30/2012 21:00,0
10/30/2012 22:00,1.999240814,1.219711892,,10/30/2012 22:00,24107.98895,,10/30/2012 22:00,0
10/30/2012 23:00,1.796990278,1.017461353,,10/30/2012 23:00,24075.14716,,10/30/2012 23:00,0
10/31/2012 0:00,1.730685014,0.951156093,,10/31/2012 0:00,24042.63025,,10/31/2012 0:00,0
